;Germany, Netherlands, Belgium, France, Austria, Ireland;Denmark, Norway, Sweden, Finland, Iceland; United-Kindom, United States of America, Canada, Australia, New Zealand;Italy, Spain, Portugal, Greece, Turkey;Estonia, Latvia, Lithuania, Poland, Hungary, Serbia, Bosnia, Kosovo, Czechia, Slovenia, Slovak Republic;Switzerland, Hong Kong, UAE, Monaco, Singapore, Liechtenstein;Japan, South Korea, Taiwan;China;India, Indonesia, Vietnam, Malaysia, Bangladesh, Philippines, Thailand;Saudi Arabia, Qatar, Israel, Egypt, Morocco;Brazil, Mexico, Chile, Argentina, Columbia, Peru;;
Households and NIPHs final consumption expenditure per capita and year;22.087;27.461;29.985;15.137;9439;31635;17755;5102;3034;5398;6814;;
Households and NIPHs final consumption expenditure per capita and year (under 30 years old);20320;25264;21979;13926;8683;26146;14675;4217;2508;4461;5631;;
Households and NIPHs final consumption expenditure per capita and year (30-44 years old);21999;27351;32684;15076;9401;32995;18518;5321;3164;5630;7107;;
Households and NIPHs final consumption expenditure per capita and year (45-59 years old);22529;28010;35682;15440;9628;34957;19619;5638;3353;5965;7529;;
Households and NIPHs final consumption expenditure per capita and year (over 60 years old);22308;27736;25787;15288;9533;29579;16601;4770;2837;5047;6371;;
percentage of spending in: housing ;25,1;26,9;23,6;21,3;22,4;23,5;23,8;22,2;23,5;20,1;15,1;;
percentage of spending in: Food and non-alcoholic beverages ;11,2;12,0;7,2;14,9;15,3;9,2;16,1;25,0;15,5;21,9;23,1;;
percentage of spending in: alcohlic beverages, tobacco and narcotics;3,6;3,8;3,9;4,0;6,5;6,4;2,5;4,8;1,7;1,8;2,9;;
percentage of spending in: clothing and footwear;4,4;4,1;3,8;6,1;4,7;3,4;3,5;5,4;2,7;5,9;3,5;;
 percentage of spending in: furnishing and household equipment;5,9;5,8;4,8;5,8;5,6;5,0;4,5;5,5;4,7;6,0;5,0;;
percentage of spending in: health;4,6;3,3;7,5;3,8;4,3;10,8;4,4;9,0;2,6;2,6;6,6;;
percentage of spending in: transport;11,8;12,6;11,4;13,3;12,9;12,4;9,3;10,6;11,0;12,2;13,2;;
percentage of spending in: communications;2,2;2,2;1,9;2,4;2,2;1,8;3,5;3,5;6,2;3,6;2,6;;
percentage of spending in: recreation and culture;8,7;10,9;9,1;6,2;6,9;6,5;8,3;8,8;3,2;5,0;6,5;;
percentage of spending in: education;0,8;0,5;2,0;1,3;0,9;0,9;1,8;2,5;1,4;2,0;2,8;;
percentage of spending in: restaurants and hotels;9,7;6,9;7,9;12,5;7,9;7,6;6,4;0,0;17,0;9,1;7,9;;
percentage of spending in: miscellaneous goods ;12,0;11,1;16,9;7,7;10,4;12,5;15,9;2,7;10,3;9,8;10,8;;
population region;198487707;27850606;482039649;214835650;84738595;59294157;198897012;1419320000;2224000000;202600000;517565461;;
percent of people buying online at least once a year ;87;90;84,3;64;48;87;76;41,5;20;85;75;;
online retail revenue share of total retail revenue;13,4;12;16;16;16;14,6;20;28,2;10;29;15;;
share of under 25yo people in the region;27,6;27,6;29,7;23,3;25,5;25,4;20,4;27,5;40,9;40,7;36,2;;
share of 25-64yo people in the region;52,3;51,4;52,3;53,5;53,9;57,2;55,3;57,8;51,9;51,7;52,5;;
share of older then 64yo people in the region;20,1;21;18;23,2;20,6;17,4;24,3;14,7;7,2;7,6;88,7;;
